verð,stærð,fjherb,fjklós,lyfta,fjhæð,fjbílast,fjbkar,fjsturt
22429000,82.7,1,1,0,1,0,1,0
13562000,72.0,1,1,0,1,0,0,1
20916000,125.7,4,1,0,2,0,1,0
27499000,153.3,5,1,0,2,0,1,0
22418000,88.3,2,1,0,1,0,1,0
22028000,85.2,3,1,0,1,0,1,0
35127000,104.7,3,1,4,1,1,1,0
24943000,108.8,2,1,0,1,0,1,0
12367000,37.6,1,1,0,1,0,0,1
12476000,57.9,1,1,1,1,0,1,0
20916000,64.5,2,1,0,1,0,1,0
28130000,84.8,2,1,1,1,1,0,1
15550000,51.9,1,1,0,1,1,1,0
29196000,108.8,2,1,0,1,0,0,1
20975000,84.5,2,1,1,1,0,1,0
16000000,51.0,1,1,1,1,0,1,0
22613000,81.8,4,1,0,2,0,1,0
23940000,102.9,2,1,0,1,0,0,1
15701000,78.1,2,1,1,1,0,1,0
39424000,134.3,4,2,0,1,0,0,1
20804000,103.2,4,1,0,2,0,1,0
17717000,72.2,2,1,0,1,0,1,0
30022000,91.5,3,1,0,1,0,0,1
15100000,74.6,2,1,2,1,0,1,0
31660000,136.4,2,1,0,1,0,1,0
17469000,80.9,2,1,0,1,0,1,1
30802000,115.7,4,1,0,2,0,1,0
10500000,104.2,4,1,0,1,0,1,0
13448000,56.8,1,1,0,1,0,1,0
20977000,85.5,2,1,0,1,0,1,1
38463000,161.2,3,2,0,1,1,1,1
20592000,86.6,2,1,0,1,0,1,0
12635000,91.6,3,1,0,1,0,1,0
42025000,104.5,2,1,4,1,1,1,1
25297000,114.3,3,1,0,1,0,0,1
15300000,70.1,1,1,0,1,0,1,0
17000000,51.2,1,1,2,1,0,0,1
9286000,36.7,1,1,0,1,0,0,1
23418000,88.7,1,1,0,1,0,0,1
14059000,54.7,1,1,0,1,0,1,0
22200000,87.9,2,1,0,1,0,1,1
46778000,140.6,1,2,2,1,1,0,2
30459000,132.7,4,1,0,2,0,1,1
23423000,98.8,3,1,0,1,0,1,0
15385000,101.7,2,1,0,1,0,0,1
30155000,110.1,2,1,3,1,1,1,1
23303000,89.5,3,1,0,1,0,1,0
23369000,113.0,3,1,0,1,0,1,0
18251000,78.9,3,1,0,1,0,1,0
14847000,69.8,1,1,0,1,0,0,1
14499000,56.2,1,1,0,1,0,0,1
17995000,72.0,1,1,0,1,0,1,0
13869000,42.9,1,1,1,1,0,0,1
17684000,96.7,3,1,0,1,0,1,0
17653000,65.2,1,1,0,1,0,1,0
21732000,73.2,2,1,0,1,0,1,0
18205000,123.4,4,2,1,2,0,1,0
19095000,90.6,2,1,1,1,0,1,0
16953000,76.9,2,1,0,2,0,1,0
18964000,83.3,2,1,0,1,0,0,1
22668000,74.9,1,1,0,1,0,1,0
14280000,87.9,2,1,0,1,0,1,0
15334000,86.5,2,1,0,1,0,1,0
5988000,23.3,0,1,0,1,0,0,1
27308000,103.1,2,1,2,1,1,0,1
38293000,121.8,3,1,3,1,1,1,1
22938000,88.7,1,1,5,1,0,0,1
23520000,103.3,3,1,2,1,0,1,0
25386000,92.8,2,1,1,1,1,1,0
30688000,153.2,4,2,0,2,0,1,0
17477000,88.0,1,1,1,1,1,1,0
17494000,98.0,3,1,0,1,0,0,1
15078000,80.3,2,1,0,1,0,1,0
19818000,93.8,1,1,0,1,1,1,0
15627000,71.3,1,1,0,1,0,0,1
23856000,99.2,3,1,0,1,1,1,0
24741000,88.1,3,1,1,1,0,1,0
26797000,122.3,3,1,1,1,1,1,0
29076000,133.7,4,2,0,1,0,1,0
22479000,93.9,3,1,0,1,0,1,1
21979000,94.6,2,1,2,1,0,1,0
28476000,115.1,4,2,0,2,1,1,1
23493000,107.0,3,1,0,1,1,1,0
38703000,136.2,3,2,0,2,0,1,0
16402000,63.6,1,1,0,1,0,0,1
22600000,81.5,2,1,0,1,0,1,0
28340000,141.1,3,1,0,2,0,1,0
15901000,69.7,2,1,0,1,0,0,1
34829000,143.8,4,2,0,1,0,0,1
13500000,54.0,1,1,0,1,0,1,0
10832000,82.3,2,1,0,1,0,1,0
10921000,68.4,2,1,0,1,0,0,1
24512000,98.3,2,1,3,1,1,1,1
22915000,144.9,5,1,0,2,0,1,0
18796000,91.2,2,1,0,1,0,3,0
22085000,78.6,2,1,0,1,0,1,0
13989000,62.4,1,1,0,1,0,0,1
41439000,103.9,2,1,0,1,0,1,1
16065000,68.4,1,1,0,1,1,1,0
4500000,114.6,3,1,0,1,0,1,0
33000000,121.2,1,2,3,1,1,0,1
19183000,75.6,2,1,1,1,0,1,0
11180000,40.2,1,1,0,1,0,0,1
29972000,131.9,5,2,0,2,0,1,1
28977000,122.1,3,1,0,1,1,1,0
16467000,73.5,2,1,0,1,0,1,0
6822000,83.5,2,1,0,1,0,1,0
27981000,112.7,3,1,0,1,0,1,1
18802000,92.4,2,1,0,1,0,1,0
18381000,77.7,2,1,0,1,0,1,1
13963000,86.1,2,1,1,1,0,1,0
14672000,123.5,2,1,0,1,0,1,0
18693000,92.8,3,1,0,2,0,1,0
70810000,153.1,2,2,2,1,2,1,1
8400000,78.5,0,1,0,1,0,1,0
12019000,61.2,2,1,0,1,0,1,0
19255000,83.3,3,1,0,1,0,1,0
10655000,112.6,3,1,0,1,0,1,0
20471000,91.5,2,1,0,1,0,1,1
16675000,72.9,2,1,0,1,0,1,0
8622000,49.0,1,1,0,1,0,0,1
37591000,147.2,3,2,0,2,0,1,0
30434000,97.5,2,1,1,1,1,0,1
18078000,78.8,2,1,1,1,1,1,1
36489000,129.9,4,1,2,1,1,1,1
15185000,62.2,1,1,0,1,0,0,1
20600000,92.5,5,1,0,1,0,1,0
12600000,66.5,1,1,0,1,0,1,0
28600000,117.7,3,1,1,1,0,1,1
24370000,102.7,3,1,0,1,0,1,1
41967000,122.5,2,1,3,1,1,1,0
27135000,92.1,2,1,2,1,1,1,1
26600000,92.1,2,1,2,1,1,1,1
25275000,105.4,2,1,2,1,1,1,0
24500000,84.5,2,1,0,1,1,1,0
28080000,149.6,4,1,1,1,1,1,0
18711000,70.9,1,1,0,1,0,1,0
16251000,91.4,3,1,0,1,0,1,0
13200000,99.2,3,1,0,1,0,1,0
12792000,66.8,1,1,0,1,0,1,0
19540000,85.6,2,1,0,1,0,1,0
44510000,132.7,2,2,2,1,1,1,2
27500000,91.2,2,1,5,1,1,0,1
26931000,104.1,4,1,0,1,0,1,1
23864000,97.8,2,1,1,1,1,1,0
20749000,95.7,3,1,0,1,0,1,0
25799000,130.7,3,1,1,1,0,1,0
34625000,166.4,5,2,0,3,0,1,0
13151000,74.5,2,1,0,1,0,0,1
21461000,83.0,2,1,2,1,0,1,0
24143000,87.0,1,1,0,1,0,1,0
18322000,101.4,3,1,0,1,0,1,0
12362000,38.3,1,1,1,1,0,1,0
20804000,87.0,2,1,1,1,1,1,0
11819000,52.7,1,1,1,1,0,1,0
25315000,74.5,1,1,1,1,1,0,1
21391000,82.2,2,1,0,1,0,0,1
10533000,67.8,2,1,0,1,0,0,0
33435000,118.9,2,1,2,1,1,1,1
20484000,76.6,2,1,0,1,0,1,0
22675000,101.4,3,1,2,1,0,1,0
14991000,64.9,1,1,0,1,0,1,0
30700000,114.0,3,1,0,1,1,1,0
20473000,70.5,2,1,0,1,0,1,0
20766000,70.5,2,1,0,1,0,1,0
20813000,70.5,2,1,0,1,0,1,0
14800000,102.9,3,1,0,1,0,1,0
26451000,103.6,3,1,0,1,0,1,0
15412000,50.4,1,1,0,1,0,1,0
18644000,68.2,2,1,0,1,0,1,0
12171000,44.9,1,0,0,1,0,0,0
22854000,96.2,3,1,0,1,0,0,1
