"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2014-10-30 18:00:00",18.35,29876999
"2014-10-31 18:00:00",17.95,60405387
"2014-11-03 18:00:00",18,14009557
"2014-11-04 18:00:00",18.5,68365513
"2014-11-05 18:00:00",18.7,34103050
"2014-11-06 18:00:00",18.45,18830426
"2014-11-07 18:00:00",18.55,11723000
"2014-11-10 18:00:00",18.55,650000
"2014-11-11 18:00:00",18.35,8500000
"2014-11-12 18:00:00",18.37,2208500
"2014-11-13 18:00:00",18.5,1026206
"2014-11-14 18:00:00",18.45,7101635
"2014-11-17 18:00:00",18.75,56531306
"2014-11-18 18:00:00",19,28695049
"2014-11-19 18:00:00",19.025,2118852
"2014-11-20 18:00:00",19,19588347
"2014-11-21 18:00:00",19.05,47928463
"2014-11-24 18:00:00",18.95,5606025
"2014-11-25 18:00:00",18.95,11000000
"2014-11-26 18:00:00",18.9,13552000
"2014-11-27 18:00:00",19.15,14784674
"2014-11-28 18:00:00",19.6,45018800
"2014-12-01 18:00:00",19.8,20354529
"2014-12-02 18:00:00",19.8,2193500
"2014-12-03 18:00:00",19.775,761146
"2014-12-04 18:00:00",20.25,44255650
"2014-12-05 18:00:00",20.1,2207540
"2014-12-08 18:00:00",20.4,14258343
"2014-12-09 18:00:00",20.65,21655897
"2014-12-10 18:00:00",21.4,37213977
"2014-12-11 18:00:00",21.35,1867690
"2014-12-12 18:00:00",21.2,6302450
"2014-12-15 18:00:00",21.25,3554104
"2014-12-16 18:00:00",21.225,10643643
"2014-12-17 18:00:00",20.9,2178427
"2014-12-18 18:00:00",20.9,19686708
"2014-12-19 18:00:00",21.1,10882577
"2014-12-22 18:00:00",21.15,7479251
"2014-12-23 18:00:00",21.3,6320487
"2014-12-29 18:00:00",21.25,7570000
"2014-12-30 18:00:00",21.4,8593986
"2015-01-02 18:00:00",21.9,22179577
"2015-01-05 18:00:00",22.5,39883493
"2015-01-06 18:00:00",22.3,23000571
"2015-01-07 18:00:00",22.45,9201786
"2015-01-08 18:00:00",23,39609259
"2015-01-09 18:00:00",22.85,17679179
"2015-01-12 18:00:00",22.7,8228829
"2015-01-13 18:00:00",23.2,24181721
"2015-01-14 18:00:00",23.2,12384874
"2015-01-15 18:00:00",22.875,20873303
"2015-01-16 18:00:00",22.825,2943035
"2015-01-19 18:00:00",22.6,12871847
"2015-01-20 18:00:00",22.85,11033444
"2015-01-21 18:00:00",22.7,18756851
"2015-01-22 18:00:00",22.85,12850867
"2015-01-23 18:00:00",22.9,2299199
"2015-01-26 18:00:00",22.85,1509366
"2015-01-27 18:00:00",23,17268508
"2015-01-28 18:00:00",23.1,13854205
"2015-01-29 18:00:00",23.15,1646788
"2015-01-30 18:00:00",22.95,16898900
"2015-02-02 18:00:00",22.9,5466149
"2015-02-03 18:00:00",23,1555357
"2015-02-04 18:00:00",22.85,6566205
"2015-02-05 18:00:00",23.1,12238000
"2015-02-06 18:00:00",21.7,69639731
"2015-02-09 18:00:00",21.55,14931557
"2015-02-10 18:00:00",21.2,9363122
"2015-02-11 18:00:00",21.7,7494244
"2015-02-12 18:00:00",21.6,6765758
"2015-02-13 18:00:00",21.5,9487727
"2015-02-16 18:00:00",21.45,390698
"2015-02-17 18:00:00",21.15,8561000
"2015-02-18 18:00:00",20.95,37449154
"2015-02-19 18:00:00",21.2,26758781
"2015-02-20 18:00:00",21.05,7391060
"2015-02-23 18:00:00",21.175,3500000
"2015-02-24 18:00:00",21.25,2026480
"2015-02-25 18:00:00",21.3,119215
"2015-02-26 18:00:00",21.2,14514534
"2015-02-27 18:00:00",21.15,8771000
"2015-03-02 18:00:00",21.35,10052717
"2015-03-03 18:00:00",21.7,11580020
"2015-03-04 18:00:00",22,14161839
"2015-03-05 18:00:00",22,10517590
"2015-03-06 18:00:00",21.8,21366300
"2015-03-09 18:00:00",22.1,4001955
"2015-03-10 18:00:00",22.1,10057717
"2015-03-11 18:00:00",22.1,2225487
"2015-03-12 18:00:00",21.8,6847706
"2015-03-13 18:00:00",21.8,15274704
"2015-03-16 18:00:00",21.75,561198
"2015-03-17 18:00:00",21.75,5639555
"2015-03-18 18:00:00",21.9,351000
"2015-03-19 18:00:00",21.7,13207423
"2015-03-20 18:00:00",21.6,4500000
"2015-03-23 18:00:00",21.4,9605000
"2015-03-24 18:00:00",21.5,4907324
"2015-03-25 18:00:00",21.15,15836099
"2015-03-26 18:00:00",21.05,2825000
"2015-03-27 18:00:00",21,7848586
"2015-03-30 18:00:00",20.95,3738970
"2015-03-31 18:00:00",21.1,2243089
"2015-04-01 18:00:00",21,13425000
"2015-04-07 18:00:00",21,1063524
"2015-04-08 18:00:00",21.45,17345880
"2015-04-09 18:00:00",21.325,1952569
"2015-04-10 18:00:00",21.35,1020711
"2015-04-13 18:00:00",21.25,15408000
"2015-04-14 18:00:00",21.2,4942467
"2015-04-15 18:00:00",21.4,2909719
"2015-04-16 18:00:00",21.35,2053398
"2015-04-17 18:00:00",21.2,22488903
"2015-04-20 18:00:00",21.3,19982831
"2015-04-21 18:00:00",21.21,5989518
"2015-04-22 18:00:00",21.3,5411993
"2015-04-24 18:00:00",21.4,33701192
"2015-04-27 18:00:00",21.325,3393226
"2015-04-28 18:00:00",21.25,3382824
"2015-04-29 18:00:00",21.35,12618681
"2015-04-30 18:00:00",21.625,38163897
"2015-05-04 18:00:00",21.7,2341350
"2015-05-05 18:00:00",21.65,10631000
"2015-05-06 18:00:00",21.7,7735060
"2015-05-07 18:00:00",21.7,3000000
"2015-05-08 18:00:00",21.5,4343360
"2015-05-11 18:00:00",21.9,21713330
"2015-05-12 18:00:00",22.25,11127407
"2015-05-13 18:00:00",22.4,1023000
"2015-05-15 18:00:00",22.5,24503500
"2015-05-18 18:00:00",22.4,5952112
"2015-05-19 18:00:00",23.05,31184114
"2015-05-20 18:00:00",22.8,12870547
"2015-05-21 18:00:00",22.8,14401398
"2015-05-22 18:00:00",22.6,10083592
"2015-05-26 18:00:00",23,32222620
"2015-05-27 18:00:00",23.8,27092234
"2015-05-28 18:00:00",23.75,9118650
"2015-05-29 18:00:00",23.55,22650844
"2015-06-01 18:00:00",23.55,1295307
"2015-06-02 18:00:00",23.85,7832165
"2015-06-03 18:00:00",24.05,74091669
"2015-06-04 18:00:00",24.05,22156669
"2015-06-05 18:00:00",24.1,8543000
"2015-06-08 18:00:00",24.55,30576273
"2015-06-09 18:00:00",24.6,22557748
"2015-06-10 18:00:00",24.3,23003150
"2015-06-11 18:00:00",24.3,10580662
"2015-06-12 18:00:00",24.35,5240000
"2015-06-15 18:00:00",24.55,7252841
"2015-06-16 18:00:00",24.4,14880000
"2015-06-18 18:00:00",24.45,11006134
"2015-06-19 18:00:00",24.45,2468390
"2015-06-22 18:00:00",24.35,2560000
"2015-06-23 18:00:00",24.5,3887072
"2015-06-24 18:00:00",24.55,6786400
"2015-06-25 18:00:00",24.65,4098228
"2015-06-26 18:00:00",24.75,11400992
"2015-06-29 18:00:00",24.7,4121076
"2015-06-30 18:00:00",24.95,28066500
"2015-07-01 18:00:00",25,7677460
"2015-07-02 18:00:00",24.95,14261670
"2015-07-03 18:00:00",24.8,9048506
"2015-07-06 18:00:00",24.8,3000000
"2015-07-07 18:00:00",25.15,22511201
"2015-07-08 18:00:00",25.1,5580000
"2015-07-09 18:00:00",25.3,14400556
"2015-07-10 18:00:00",25.3,704657
